,id,name,url
0,1009214,Cable,http://i.annihil.us/u/prod/marvel/i/mg/3/90/526165df2b584.jpg
1,1017317,Cable (Deadpool),http://i.annihil.us/u/prod/marvel/i/mg/f/50/5239c22332b00.jpg
2,1017307,Cable (Marvel: Avengers Alliance),http://i.annihil.us/u/prod/marvel/i/mg/3/d0/5239b5f863d43.jpg
3,1011252,Cable (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/c/10/53176a2ccd8bc.jpg
4,1017472,Cable (X-Men: Battle of the Atom),http://i.annihil.us/u/prod/marvel/i/mg/9/b0/52d729bb9b84b.jpg
5,1011209,Calamity,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
6,1009216,Caliban,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db.jpg
7,1009217,Callisto,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c004082711b8.jpg
8,1010912,Callisto (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/f/c0/535feb96ee0fb.jpg
9,1009218,Calypso,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59f17087ab.jpg
10,1011139,Cammi,http://i.annihil.us/u/prod/marvel/i/mg/d/a0/4c00309587477.jpg
11,1009219,Cannonball,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00407fb91b5.jpg
12,1011276,Cap'n Oz,http://i.annihil.us/u/prod/marvel/i/mg/c/10/4c002ee7bf3f5.jpg
13,1009220,Captain America,http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087.jpg
14,1010914,Captain America (House of M),http://i.annihil.us/u/prod/marvel/i/mg/6/10/53176a1e7c0d5.jpg
15,1017295,Captain America (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/d/b0/5239c38051946.jpg
16,1017327,Captain America (Marvel War of Heroes),http://i.annihil.us/u/prod/marvel/i/mg/2/03/5239c005a4827.jpg
17,1017575,Captain America (Sam Wilson),http://i.annihil.us/u/prod/marvel/i/mg/c/80/545a84a75ddaf.jpg
18,1010913,Captain America (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/80/53176a0bb810c.jpg
19,1017105,Captain America/Steve Rogers (MAA),http://i.annihil.us/u/prod/marvel/i/mg/3/10/52321928eaa72.jpg
20,1009223,Captain Britain,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4dbf0e5d57226.jpg
21,1017856,Captain Britain (Betsy Braddock),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
22,1010915,Captain Britain (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/6/a0/4c003574e99fb.jpg
23,1011190,Captain Cross,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
24,1011196,Captain Flint,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
25,1010338,Captain Marvel (Carol Danvers),http://i.annihil.us/u/prod/marvel/i/mg/6/80/5269608c1be7a.jpg
26,1011096,Captain Marvel (Genis-Vell),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
27,1009224,Captain Marvel (Mar-Vell),http://i.annihil.us/u/prod/marvel/i/mg/f/60/526032048d1a1.jpg
28,1011095,Captain Marvel (Monica Rambeau),http://i.annihil.us/u/prod/marvel/i/mg/9/00/4c0030bee8c86.jpg
29,1011097,Captain Marvel (Phyla-Vell),http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0030bc4629e.jpg
30,1011355,Captain Midlands,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
31,1009225,Captain Stacy,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c00407752be2.jpg
32,1011027,Captain Universe,http://i.annihil.us/u/prod/marvel/i/mg/4/c0/4c00324c12ba2.jpg
33,1011052,Cardiac,http://i.annihil.us/u/prod/marvel/i/mg/2/70/4c003117e0b75.jpg
34,1010143,Caretaker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
35,1009226,Cargill,http://i.annihil.us/u/prod/marvel/i/mg/f/50/4c0040744c205.jpg
36,1011258,Carlie Cooper,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
37,1009688,Carmella Unuscione,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
38,1009227,Carnage,http://i.annihil.us/u/prod/marvel/i/mg/6/50/535fee423f170.jpg
39,1010916,Carnage (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c003571c756c.jpg
40,1009261,Carol Danvers,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
41,1009344,Carol Hines,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
42,1011937,Carrion (Malcolm McBride),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
